name,address,postal_code,lat,lon,service_category,type
CENTRE DE PROTECTION DE L’ENFANCE ET DE LA JEUNESSE SAINTE-CATHERINE,"4515, rue Sainte-Catherine Ouest",H3Z1R9,45.48059844970703,-73.59439849853516,community_service_211,Youth protection
PAVILLON ROSEMONT,"5689, boulevard Rosemont",H1T2H1,45.57749938964844,-73.56210327148438,community_service_211,Hospital
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE HENRI-BOURASSA EST,"1161, boulevard Henri-Bourassa Est",H2C3K2,45.56100082397461,-73.66619873046875,community_service_211,Youth protection
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE DE L'ÉGLISE,"471, rue de l'Église",H4G2M6,45.46310043334961,-73.56990051269531,community_service_211,Youth protection
RÉSIDENCE DES FILLES ET/OU GARÇONS (HAVRE-JEUNESSE),"1019, avenue Moffat",H4H1Z1,45.45050048828125,-73.5781021118164,community_service_211,Youth rehab
RÉSIDENCE DES GARÇONS ET/OU FILLES (HAVRE-JEUNESSE),"4360, boulevard Lasalle",H4G2A8,45.460201263427734,-73.56269836425781,community_service_211,Youth rehab
HÔPITAL SAINTE-ANNE,"305, boulevard des Anciens-Combattants",H9X1Y9,45.41239929199219,-73.94869995117188,community_service_211,Hospital
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE SHERBROOKE EST,"8135, rue Sherbrooke Est",H1L1A6,45.5989990234375,-73.53569793701172,community_service_211,Youth protection
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE LA FONTAINE,"4477, rue La Fontaine",H1V1P4,45.55390167236328,-73.53690338134766,community_service_211,Youth protection
APPARTEMENT SUPERVISÉ POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION ASPIRE 2,"4840, boulevard Cavendish",H4V2R3,45.467899322509766,-73.63899993896484,community_service_211,Youth rehab
FOYER DE GROUPE MAISONNEUVE,"4331, boulevard de Maisonneuve Ouest",H3Z1L2,45.48460006713867,-73.59259796142578,community_service_211,Youth rehab
FOYER DE GROUPE COUVRETTE,"1782, rue Couvrette",H4L4T8,45.527801513671875,-73.68489837646484,community_service_211,Youth rehab
FOYER DE GROUPE RUDEL,"5475, chemin de la Côte-Saint-Antoine",H4A1R1,45.47439956665039,-73.61540222167969,community_service_211,Youth rehab
FOYER DE GROUPE SAINT-JAMES,"6151, rue Saint-Jacques",H4B1T7,45.46440124511719,-73.61620330810547,community_service_211,Youth rehab
FOYER DE GROUPE BOURBONNIÈRE,"7587, boulevard Lasalle",H8P1X9,45.43159866333008,-73.59089660644531,community_service_211,Youth rehab
CENTRE D'ACCUEIL LE PROGRAMME DE PORTAGE,"865, place Richmond",H3J1V8,45.491798400878906,-73.57250213623047,community_service_211,Addiction
CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES (POINT DE SERVICE),"1955, rue Centre",H3K1J1,45.482398986816406,-73.5634994506836,community_service_211,CLSC
SUCCURSALE TRIBUNAL DE LA JEUNESSE,"410, rue de Bellechasse, 3e ét.",H2S1X3,45.53260040283203,-73.60079956054688,community_service_211,Youth protection
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION LA FONTAINE,"4477, rue La Fontaine",H1V1P4,45.55179977416992,-73.53520202636719,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION MEILLEUR,"10160, rue Meilleur",H3L3J8,45.54069900512695,-73.66780090332031,community_service_211,Youth rehab
CENTRE DE PROTECTION DE L’ENFANCE ET DE LA JEUNESSE TUPPER,"4039, rue Tupper",H3Z1T5,45.48780059814453,-73.58529663085938,community_service_211,Youth protection
HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,"6555, boulevard Gouin Ouest",H4K1B3,45.52899932861328,-73.72899627685547,community_service_211,Hospital
CENTRE D'ACTIVITÉS DE JOUR EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME LAPIERRE,"2027, rue Lapierre",H8N1B1,45.43709945678711,-73.6144027709961,community_service_211,Disability/Autism
CLSC PARTHENAIS ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DES FAUBOURGS,"2260, rue Parthenais",H2K3T5,45.53099822998047,-73.56009674072266,community_service_211,CLSC; Hospital
CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DORVAL,"825, avenue Dawson",H9S1X4,45.44200134277344,-73.74230194091797,community_service_211,Youth rehab
FOYER DE GROUPE WOLSELEY,"413, avenue Wolseley",H4X1W4,45.45640182495117,-73.65760040283203,community_service_211,Youth rehab
FOYER DE GROUPE HAWKINS,"5455, chemin de la Côte-Saint-Antoine",H4A1R1,45.47460174560547,-73.61519622802734,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE RIVIÈRE-DES-PRAIRIES,"12525, 28e Avenue",H1E3V3,45.6416015625,-73.59210205078125,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION LANGELIER,"5324, boulevard Langelier",H1M2A7,45.555198669433594,-73.58779907226562,community_service_211,Youth rehab
CLSC WILLIAM C.-VAN HORNE,"1271, avenue Van Horne",H2V1K5,45.52190017700195,-73.61399841308594,community_service_211,CLSC
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION 1RE AVENUE,"6936, 1e Avenue",H1Y3B4,45.55329895019531,-73.59719848632812,community_service_211,Youth rehab
CENTRE D'ACTIVITÉS DE JOUR EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME LÉGER,"2445, rue Léger",H8N2V7,45.44430160522461,-73.62480163574219,community_service_211,Disability/Autism
APPARTEMENT SUPERVISÉ POUR LES JEUNES EN DIFFICULTÉ D’ADAPTATION ASPIRE,"2291, avenue Wilson",H4A2T4,45.46989822387695,-73.61479949951172,community_service_211,Youth rehab
CLSC DE VILLE-ÉMARD-CÔTE-SAINT-PAUL,"6161, rue Laurendeau",H4E3X6,45.457298278808594,-73.58910369873047,community_service_211,CLSC
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION LOUIS-HÉMON,"6964, rue Louis-Hémon",H2E2T5,45.55030059814453,-73.60070037841797,community_service_211,Youth rehab
LES CENTRES DE LA JEUNESSE ET DE LA FAMILLE BATSHAW,"6, rue Weredale Park",H3Z1Y6,45.48680114746094,-73.5823974609375,community_service_211,Youth rehab
CLSC ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE BORDEAUX-CARTIERVILLE,"11822, avenue du Bois-de-Boulogne",H3M2X6,45.54079818725586,-73.68930053710938,community_service_211,CLSC; Hospital
CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME NOTRE-DAME,"8000, rue Notre-Dame Ouest",H8R1H2,45.44889831542969,-73.6323013305664,community_service_211,Disability/Autism
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE MAISONNEUVE EST,"1001, boulevard de Maisonneuve Est, 1er",H2L4P9,45.51810073852539,-73.5593032836914,community_service_211,Youth protection
CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE LA CITÉ-DES-PRAIRIES,"12165, boulevard Saint-Jean-Baptiste",H1C1S4,45.662200927734375,-73.54000091552734,community_service_211,Youth rehab
CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION ROSE-VIRGINIE-PELLETIER,"9469, boulevard Gouin Ouest",H8Y1T2,45.507301330566406,-73.77359771728516,community_service_211,Youth rehab
CHSLD JEANNE-LE BER,"7445, rue Hochelaga",H1N3V2,45.589500427246094,-73.52770233154297,community_service_211,Hospital
CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME PIE-IX,"8274, boulevard Pie-IX",H1Z3T6,45.57210159301758,-73.60659790039062,community_service_211,Disability/Autism
CENTRE D'ACTIVITÉS DE JOUR EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME ONTARIO,"4532, rue Ontario Est",H1V1K7,45.55459976196289,-73.53810119628906,community_service_211,Disability/Autism
CLSC DE LASALLE,"8550, boulevard Newman",H8N1Y5,45.43119812011719,-73.63150024414062,community_service_211,CLSC
CLSC DE SAINT-LAURENT,"1055, avenue Sainte-Croix",H4L3Z2,45.5172004699707,-73.68090057373047,community_service_211,CLSC
ATELIER DE TRAVAIL EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME EDISON,"9181, rue Édison",H1J1T4,45.61309814453125,-73.56999969482422,community_service_211,Disability/Autism
CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME CHAMP-D'EAU,"9125, rue Pascal-Gagnon, bureaux 106 et",H1P1Z4,45.60689926147461,-73.59739685058594,community_service_211,Disability/Autism
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE VERDUN,"1230, rue Allard",H4H2C8,45.446998596191406,-73.5823974609375,community_service_211,Youth rehab
CENTRE D'HÉBERGEMENT CAMILLE-LEFEBVRE,"637, 13e Avenue",H8S4K4,45.441200256347656,-73.67659759521484,community_service_211,Hospital
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE SAINT-DENIS,"8000, rue Saint-Denis",H2R2G1,45.541900634765625,-73.62789916992188,community_service_211,Youth protection
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION SAGAMO,"6965, terrasse Sagamo",H1S2E9,45.57849884033203,-73.57630157470703,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION J.-O. ROUSSIN,"595, 3e Avenue",H1B4P1,45.439998626708984,-73.66690063476562,community_service_211,Youth rehab
CENTRE DE SERVICES AMBULATOIRES ET MAISON DE NAISSANCE LOUVAIN,"9600, rue Saint-Denis",H2M1P2,45.54850006103515,-73.65409851074219,community_service_211,CLSC; Hospital
