ct_code,dguid,centroid_lon,centroid_lat
4621002.00,2021S05074621002.00,-73.327857,45.745997
4621003.00,2021S05074621003.00,-74.192446,45.30735
4621004.00,2021S05074621004.00,-74.237442,45.271798
4621005.00,2021S05074621005.00,-74.27861,45.247453
4620704.08,2021S05074620704.08,-73.879576,45.623229
4620704.09,2021S05074620704.09,-73.854694,45.628035
4620325.05,2021S05074620325.05,-73.614745,45.441069
4620325.06,2021S05074620325.06,-73.60872,45.434782
4620593.01,2021S05074620593.01,-73.561986,45.598955
4620593.02,2021S05074620593.02,-73.55232,45.594009
4620100.01,2021S05074620100.01,-73.637451,45.469181
4620100.02,2021S05074620100.02,-73.642017,45.464021
4620291.03,2021S05074620291.03,-73.528973,45.674425
4620291.04,2021S05074620291.04,-73.547042,45.655315
4620413.01,2021S05074620413.01,-73.692291,45.500966
4620413.02,2021S05074620413.02,-73.687175,45.496585
4620317.03,2021S05074620317.03,-73.550589,45.464752
4620187.03,2021S05074620187.03,-73.562163,45.551414
4620187.04,2021S05074620187.04,-73.565701,45.544886
4620929.01,2021S05074620929.01,-73.198836,45.543779
4620929.02,2021S05074620929.02,-73.215474,45.535348
4620855.03,2021S05074620855.03,-73.350549,45.518748
4620855.04,2021S05074620855.04,-73.343172,45.502501
4620677.09,2021S05074620677.09,-73.419978,45.770463
4620677.10,2021S05074620677.10,-73.409748,45.777773
4620777.01,2021S05074620777.01,-73.922347,45.292228
4620777.02,2021S05074620777.02,-73.855082,45.281314
4620643.01,2021S05074620643.01,-73.76904,45.573664
4620643.02,2021S05074620643.02,-73.75067,45.563552
4620643.03,2021S05074620643.03,-73.758751,45.556703
4620652.08,2021S05074620652.08,-73.794852,45.531188
4620652.09,2021S05074620652.09,-73.788035,45.525048
4620656.03,2021S05074620656.03,-73.822971,45.560774
4620656.04,2021S05074620656.04,-73.842018,45.566612
4620659.08,2021S05074620659.08,-73.793766,45.6002
4620659.09,2021S05074620659.09,-73.796042,45.593343
4620661.03,2021S05074620661.03,-73.720356,45.658117
4620661.04,2021S05074620661.04,-73.750313,45.634085
4620804.01,2021S05074620804.01,-73.754282,45.356264
4620804.02,2021S05074620804.02,-73.780742,45.332192
4620701.01,2021S05074620701.01,-73.770248,45.678249
4620701.02,2021S05074620701.02,-73.758942,45.667646
4620758.03,2021S05074620758.03,-74.197074,45.419991
4620758.04,2021S05074620758.04,-74.180886,45.400018
4620758.05,2021S05074620758.05,-74.147009,45.401367
