ï»¿Dissemination Area (DA),Province or territory,Dimension 1 Scores,Dimension 2 Scores,Dimension 3 Scores,Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension,da_str
24600231,Quebec,-0.66962,-0.12797,-1.05242,0.21975,-0.40756,2,Dimension 4,24600231
24600234,Quebec,-0.67674,-1.22913,-0.53053,0.06658,-0.59246,1,Dimension 4,24600234
24600236,Quebec,-0.56544,-1.26909,-0.64782,0.05574,-0.60665,1,Dimension 4,24600236
24600240,Quebec,0.30791,3.44782,-1.91473,0.21188,0.51322,5,Dimension 2,24600240
24600241,Quebec,0.66006,4.67688,-2.05172,0.45488,0.93503,5,Dimension 2,24600241
24600242,Quebec,-0.7534,-1.5564,-0.98141,-0.38538,-0.91915,1,Dimension 4,24600242
24600247,Quebec,-0.4586,-1.34441,-0.68217,-0.58372,-0.76722,1,Dimension 1,24600247
24600249,Quebec,-0.56171,-0.96728,-0.7018,-0.58147,-0.70307,1,Dimension 1,24600249
24600250,Quebec,-0.51315,-1.00047,-0.75753,-0.46973,-0.68522,1,Dimension 4,24600250
24600252,Quebec,-0.39876,-0.79277,-0.43973,-0.40369,-0.50874,1,Dimension 1,24600252
24600253,Quebec,-0.15261,-1.42659,-0.74427,-0.44558,-0.69226,1,Dimension 1,24600253
24600254,Quebec,-0.57729,-1.23543,-0.47951,-0.52884,-0.70527,1,Dimension 3,24600254
24600255,Quebec,-0.52458,-1.3387,-1.09064,-0.28527,-0.8098,1,Dimension 4,24600255
24600256,Quebec,-0.51832,-1.7023,-0.64886,-0.42352,-0.82325,1,Dimension 4,24600256
24600257,Quebec,-0.38002,-1.87779,-0.41296,-0.07375,-0.68613,1,Dimension 4,24600257
24600259,Quebec,-0.64625,-1.11729,-0.58772,-0.15608,-0.62683,1,Dimension 4,24600259
24600260,Quebec,0.1956,-0.62749,-0.72504,-0.18954,-0.33662,2,Dimension 1,24600260
24600261,Quebec,-0.41493,-1.16147,-0.73311,-0.41963,-0.68229,1,Dimension 1,24600261
24600263,Quebec,-0.37859,0.06602,-0.99795,0.0801,-0.30761,2,Dimension 4,24600263
24600264,Quebec,-1.06316,-1.02725,-1.74421,0.21294,-0.90542,1,Dimension 4,24600264
24600265,Quebec,-0.65842,0.21382,-0.80261,0.00569,-0.31038,2,Dimension 2,24600265
24600266,Quebec,-0.3843,-1.11719,-1.01121,0.00318,-0.62738,1,Dimension 4,24600266
24600267,Quebec,-0.65234,0.09033,-0.81812,-0.84867,-0.5572,1,Dimension 2,24600267
24600268,Quebec,-0.19379,-1.23312,-0.07756,-0.47456,-0.49476,1,Dimension 3,24600268
24600269,Quebec,-0.38645,-1.67277,-1.17771,-1.22154,-1.11462,1,Dimension 1,24600269
24600270,Quebec,-0.28117,-1.29671,-1.1347,-1.57732,-1.07248,1,Dimension 1,24600270
24600273,Quebec,-0.2978,-1.19986,-0.53495,-0.5183,-0.63773,1,Dimension 1,24600273
24600274,Quebec,-0.60005,0.6687,-0.94216,-0.8699,-0.43585,2,Dimension 2,24600274
24600275,Quebec,-0.63262,-1.37095,-0.74614,-0.54634,-0.82401,1,Dimension 4,24600275
24600276,Quebec,-0.33607,-1.51171,-0.43674,-0.69359,-0.74453,1,Dimension 1,24600276
24600277,Quebec,-0.23506,-1.64268,-0.58966,-0.02966,-0.62426,1,Dimension 4,24600277
24600278,Quebec,-0.19333,-0.91503,-0.53532,-0.48759,-0.53282,1,Dimension 1,24600278
24600279,Quebec,0.11447,-1.50631,-0.55734,-0.42606,-0.59381,1,Dimension 1,24600279
24600280,Quebec,-0.43776,-0.76953,-0.95565,-0.36466,-0.6319,1,Dimension 4,24600280
24600281,Quebec,-0.69177,-0.99589,-0.68324,-0.63547,-0.75159,1,Dimension 4,24600281
24610068,Quebec,-0.76873,-0.1022,-0.50536,-0.25273,-0.40726,2,Dimension 2,24610068
24610069,Quebec,-0.48857,-0.35662,0.16647,0.38246,-0.07406,3,Dimension 4,24610069
24610070,Quebec,-0.75334,-0.12554,-0.06086,0.00061,-0.23478,2,Dimension 4,24610070
24610071,Quebec,-0.67295,-1.28399,0.27014,-0.33164,-0.50461,1,Dimension 3,24610071
24610072,Quebec,-0.76048,0.17485,-0.29372,-0.28466,-0.291,2,Dimension 2,24610072
24610073,Quebec,-0.72916,-0.33161,-0.44295,-0.26442,-0.44203,2,Dimension 4,24610073
24610074,Quebec,-0.67593,-0.18456,0.34186,0.01087,-0.12694,3,Dimension 3,24610074
24610075,Quebec,-0.96037,-0.56551,0.01676,0.08766,-0.35537,2,Dimension 4,24610075
24610076,Quebec,-0.90162,-0.22256,0.06494,0.27104,-0.19705,3,Dimension 4,24610076
24610077,Quebec,-0.3283,0.56298,0.98389,0.09834,0.32923,4,Dimension 3,24610077
24610079,Quebec,-0.72422,0.69254,-0.52654,0.03088,-0.13183,3,Dimension 2,24610079
24610080,Quebec,-0.409,1.02218,0.18874,0.41109,0.30325,4,Dimension 2,24610080
24610081,Quebec,-0.80243,0.20753,-0.27974,-0.59415,-0.3672,2,Dimension 2,24610081
24610082,Quebec,-0.84574,-0.65121,-0.55822,-0.81324,-0.7171,1,Dimension 3,24610082
24610083,Quebec,-0.84331,1.20086,-0.96145,-1.27983,-0.47093,1,Dimension 2,24610083
24610084,Quebec,-0.86061,1.82882,-0.99993,-0.89159,-0.23083,2,Dimension 2,24610084
24610085,Quebec,-0.70907,0.32166,-1.08215,-0.23411,-0.42592,2,Dimension 2,24610085
24610086,Quebec,-0.71392,0.63232,0.00186,0.35058,0.06771,4,Dimension 2,24610086
24610087,Quebec,-0.95262,0.00946,-0.22181,-0.48338,-0.41209,2,Dimension 2,24610087
24610088,Quebec,-0.01972,2.85215,1.48022,0.60374,1.2291,5,Dimension 2,24610088
24610089,Quebec,-0.52398,0.81428,-0.43609,0.46402,0.07956,4,Dimension 2,24610089
24610090,Quebec,-0.21383,3.30231,-1.08358,-0.36664,0.40956,5,Dimension 2,24610090
24610091,Quebec,0.04784,5.1601,-0.65495,1.86078,1.60344,5,Dimension 2,24610091
24610092,Quebec,0.09864,1.73163,1.29704,0.94413,1.01786,5,Dimension 2,24610092
24610093,Quebec,0.02366,1.03089,0.61624,1.87636,0.88679,5,Dimension 4,24610093
24610094,Quebec,0.31051,1.62192,0.49516,2.74831,1.29397,5,Dimension 4,24610094
24610095,Quebec,0.35998,0.84886,0.72547,1.34193,0.81906,5,Dimension 4,24610095
24610096,Quebec,-0.22977,3.38227,-1.34951,0.4703,0.56832,5,Dimension 2,24610096
24610097,Quebec,-0.07702,1.55748,0.92699,1.17213,0.89489,5,Dimension 2,24610097
24610098,Quebec,0.16086,1.13584,0.83991,2.03376,1.04259,5,Dimension 4,24610098
24610099,Quebec,-0.61241,1.03855,-0.18558,1.1384,0.34474,4,Dimension 4,24610099
24610100,Quebec,0.73396,1.33564,2.36921,2.77941,1.80455,5,Dimension 4,24610100
24610101,Quebec,1.33943,1.02121,0.72363,2.08662,1.29272,5,Dimension 4,24610101
24610102,Quebec,0.91853,1.56297,1.72562,0.72801,1.23378,5,Dimension 3,24610102
24610103,Quebec,-0.19328,1.47841,0.04232,1.12765,0.61377,5,Dimension 2,24610103
24610104,Quebec,-0.33092,1.56654,0.9596,1.00154,0.79919,5,Dimension 2,24610104
24610105,Quebec,-0.03165,-0.33995,0.51369,0.51152,0.1634,4,Dimension 3,24610105
24610106,Quebec,0.0018,-0.32429,0.53035,0.73675,0.23615,4,Dimension 4,24610106
24610107,Quebec,0.00599,0.69104,1.12208,1.38102,0.80003,5,Dimension 4,24610107
24610108,Quebec,-0.44326,0.41736,0.49204,0.91705,0.3458,4,Dimension 4,24610108
24610109,Quebec,0.51622,2.04063,1.64869,2.35606,1.6404,5,Dimension 4,24610109
24610110,Quebec,-0.13856,2.00696,0.8253,1.31137,1.00127,5,Dimension 2,24610110
24610111,Quebec,-0.22055,0.57336,-0.32439,0.84697,0.21885,4,Dimension 4,24610111
24610112,Quebec,-0.60472,0.58995,-0.42617,0.04826,-0.09817,3,Dimension 2,24610112
24610113,Quebec,-0.28513,0.9923,0.39045,0.14798,0.3114,4,Dimension 2,24610113
24610114,Quebec,0.14643,0.28564,0.92313,1.31408,0.66732,5,Dimension 4,24610114
24610115,Quebec,0.55031,5.81579,-0.28391,1.93246,2.00366,5,Dimension 2,24610115
24610116,Quebec,-0.77914,0.02339,-0.57743,-0.22027,-0.38836,2,Dimension 2,24610116
24610117,Quebec,-0.76429,0.1911,-0.87226,-0.20851,-0.41349,2,Dimension 2,24610117
24610119,Quebec,-0.73193,-0.50768,-0.57648,-0.16451,-0.49515,1,Dimension 4,24610119
24610121,Quebec,-0.51032,-0.3138,-0.31581,0.54749,-0.14811,3,Dimension 4,24610121
24610122,Quebec,-0.57366,-0.20303,0.2299,0.24768,-0.07478,3,Dimension 4,24610122
24610123,Quebec,-0.47398,0.26524,-0.28491,0.19148,-0.07554,3,Dimension 2,24610123
24610124,Quebec,-0.40323,0.70402,0.09121,0.14575,0.13444,4,Dimension 2,24610124
24610125,Quebec,-0.15577,2.17823,0.99196,0.36904,0.84587,5,Dimension 2,24610125
24610126,Quebec,0.03643,0.86237,-0.06171,-0.15155,0.17138,4,Dimension 2,24610126
24610127,Quebec,0.34002,0.97064,1.46198,1.89977,1.1681,5,Dimension 4,24610127
24610128,Quebec,-0.85956,0.41051,-0.43119,-0.0707,-0.23774,2,Dimension 2,24610128
24610129,Quebec,-0.6394,-0.54604,0.16173,0.22357,-0.20003,3,Dimension 4,24610129
24610130,Quebec,-0.88143,-0.62886,-0.54595,-0.29471,-0.58774,1,Dimension 4,24610130
24610131,Quebec,-1.03422,0.51332,-0.57644,-0.51907,-0.4041,2,Dimension 2,24610131
24610132,Quebec,-0.55383,1.24782,0.14183,0.88871,0.43113,5,Dimension 2,24610132
24610133,Quebec,-0.84563,-0.37548,-0.28623,0.11812,-0.34731,2,Dimension 4,24610133
24610134,Quebec,-0.75775,0.05278,-0.45506,0.04095,-0.27977,2,Dimension 2,24610134
24610136,Quebec,-0.83245,-0.65055,-0.7075,0.20883,-0.49542,1,Dimension 4,24610136
24610137,Quebec,-0.62125,-0.23051,0.30722,-0.27174,-0.20407,3,Dimension 3,24610137
24610138,Quebec,-0.69064,0.11678,0.47497,-0.52434,-0.15581,3,Dimension 3,24610138
24610139,Quebec,-0.82661,-0.88655,-0.45936,0.18097,-0.49789,1,Dimension 4,24610139
24610140,Quebec,-0.84348,0.28024,-0.26378,-0.05067,-0.21942,2,Dimension 2,24610140
24610141,Quebec,-0.99414,-0.05307,-0.24394,-0.98267,-0.56845,1,Dimension 2,24610141
24610142,Quebec,-0.69834,-0.02513,0.4426,-0.11849,-0.09984,3,Dimension 3,24610142
24610143,Quebec,-0.66486,0.63721,-0.54348,-0.08358,-0.16368,3,Dimension 2,24610143
24610144,Quebec,-0.29893,3.16815,-0.25604,-0.09409,0.62977,5,Dimension 2,24610144
24610145,Quebec,-0.41178,0.24672,0.9551,1.09849,0.47213,5,Dimension 4,24610145
24610146,Quebec,-0.9366,-0.30801,-0.79601,-0.61214,-0.66319,1,Dimension 2,24610146
24610147,Quebec,-0.70593,0.22288,-0.61454,-0.42422,-0.38045,2,Dimension 2,24610147
24610148,Quebec,-0.76976,1.225,-0.57897,0.10279,-0.00524,3,Dimension 2,24610148
24610149,Quebec,-0.72778,0.57657,-0.12799,-0.4337,-0.17823,3,Dimension 2,24610149
24610150,Quebec,-0.35815,2.50764,-0.19395,-0.06246,0.47327,5,Dimension 2,24610150
24610151,Quebec,-0.65939,0.39597,-0.058,0.16276,-0.03966,3,Dimension 2,24610151
24610152,Quebec,0.04327,2.85713,-1.0062,0.37175,0.56649,5,Dimension 2,24610152
24610153,Quebec,0.30569,5.20371,-0.82775,0.56532,1.31174,5,Dimension 2,24610153
24610154,Quebec,-0.61742,0.29019,-0.46412,-0.42521,-0.30414,2,Dimension 2,24610154
24610155,Quebec,-0.53458,2.04956,-0.50993,-0.32382,0.17031,4,Dimension 2,24610155
24610156,Quebec,-0.92074,-0.13463,0.02741,-0.38625,-0.35355,2,Dimension 3,24610156
24610157,Quebec,-0.73687,-0.22743,-0.0898,0.51461,-0.13487,3,Dimension 4,24610157
24610158,Quebec,-0.93723,-0.26799,-0.37681,0.34293,-0.30977,2,Dimension 4,24610158
24610159,Quebec,-0.80225,-0.27477,-1.00388,-0.81022,-0.72278,1,Dimension 2,24610159
24610160,Quebec,-0.83144,-0.50844,-0.26042,0.81882,-0.19537,3,Dimension 4,24610160
24610161,Quebec,-0.68809,-0.78003,-0.78327,0.3696,-0.47045,1,Dimension 4,24610161
24610162,Quebec,-0.85909,-0.27779,0.01634,0.05783,-0.26568,2,Dimension 4,24610162
24610163,Quebec,-0.87263,-0.03553,-0.58918,-0.27388,-0.4428,2,Dimension 2,24610163
24610234,Quebec,-0.78416,-0.50585,-0.28208,0.01974,-0.38809,2,Dimension 4,24610234
24610235,Quebec,-0.86087,-0.77718,-0.77972,0.20731,-0.55261,1,Dimension 4,24610235
24610236,Quebec,-0.72234,-0.4746,-0.48396,-0.75834,-0.60981,1,Dimension 2,24610236
24610237,Quebec,-0.79025,-0.90964,-0.55592,0.24578,-0.50251,1,Dimension 4,24610237
24610238,Quebec,-0.94445,0.23538,-0.91736,-0.39243,-0.50472,1,Dimension 2,24610238
24610239,Quebec,-0.94201,-1.3909,0.00028,-0.05963,-0.59807,1,Dimension 3,24610239
24610240,Quebec,-0.79945,-1.10504,-0.30723,-0.21333,-0.60626,1,Dimension 4,24610240
24610241,Quebec,-0.876,-1.32946,-0.53617,0.55077,-0.54772,1,Dimension 4,24610241
24620105,Quebec,-0.11553,-0.01085,5.38643,-0.66828,1.14794,5,Dimension 3,24620105
24620106,Quebec,-0.15241,-0.50346,4.84374,-0.7127,0.86879,5,Dimension 3,24620106
24620107,Quebec,-0.40785,-0.41696,4.60606,-0.57375,0.80187,5,Dimension 3,24620107
24620111,Quebec,-0.65545,0.83972,0.53098,0.19074,0.22649,4,Dimension 2,24620111
24620112,Quebec,-1.02195,0.89458,0.8596,-0.36978,0.09061,4,Dimension 2,24620112
24620113,Quebec,-0.25205,2.13029,1.46609,0.09698,0.86033,5,Dimension 2,24620113
24620114,Quebec,-0.84662,0.71323,0.78665,-0.39063,0.06566,4,Dimension 3,24620114
24620115,Quebec,-0.64817,0.08815,0.49694,-0.32748,-0.09764,3,Dimension 3,24620115
24620116,Quebec,-0.72178,0.79818,0.66251,-0.20259,0.13408,4,Dimension 2,24620116
24620117,Quebec,-0.37782,-1.28325,1.75527,0.52541,0.1549,4,Dimension 3,24620117
24620118,Quebec,-0.65708,0.34918,0.73525,0.35109,0.19461,4,Dimension 3,24620118
24620119,Quebec,-0.48488,1.00034,0.79255,0.88088,0.54722,5,Dimension 2,24620119
24620120,Quebec,-0.40134,1.10538,0.71072,1.04375,0.61463,5,Dimension 2,24620120
24620121,Quebec,-0.65625,0.68262,0.05289,0.55654,0.15895,4,Dimension 2,24620121
24620122,Quebec,-0.84935,0.35156,-0.10125,0.14326,-0.11394,3,Dimension 2,24620122
24620123,Quebec,-0.80463,1.11038,-0.30228,-0.40768,-0.10105,3,Dimension 2,24620123
24620124,Quebec,-0.73085,-0.15274,0.28014,-0.31846,-0.23048,2,Dimension 3,24620124
24620125,Quebec,-0.75608,0.76894,0.29866,-0.37617,-0.01616,3,Dimension 2,24620125
24620126,Quebec,-0.40652,1.05837,0.41789,1.13587,0.55141,5,Dimension 4,24620126
24620127,Quebec,-0.69677,0.31168,-0.32234,0.01729,-0.17254,3,Dimension 2,24620127
24620128,Quebec,-0.80949,0.62232,-0.06529,-0.37198,-0.15611,3,Dimension 2,24620128
24620129,Quebec,-0.5184,1.29958,-0.17543,-0.00044,0.15133,4,Dimension 2,24620129
24620130,Quebec,-0.44074,1.29933,0.24043,-0.0392,0.26496,4,Dimension 2,24620130
24620131,Quebec,-1.05997,0.28569,-0.13242,0.45777,-0.11223,3,Dimension 4,24620131
24620132,Quebec,-0.527,0.1705,0.41034,0.23454,0.07209,4,Dimension 3,24620132
24620133,Quebec,-0.80744,-0.32224,0.60207,-0.46506,-0.24817,2,Dimension 3,24620133
24620134,Quebec,-0.89182,-0.06072,-0.01304,-0.31254,-0.31953,2,Dimension 3,24620134
24620135,Quebec,-0.42937,-0.4877,0.44038,0.45735,-0.00484,3,Dimension 4,24620135
24620136,Quebec,-0.68169,1.03411,0.2787,0.32759,0.23968,4,Dimension 2,24620136
24620137,Quebec,-0.58399,0.95526,0.33437,1.38306,0.52218,5,Dimension 4,24620137
24620138,Quebec,-0.73184,0.2343,0.32311,0.11736,-0.01427,3,Dimension 3,24620138
24620139,Quebec,-0.60148,1.29239,0.09204,-0.12704,0.16398,4,Dimension 2,24620139
24620140,Quebec,-0.73984,0.61992,-0.03634,-0.1188,-0.06877,3,Dimension 2,24620140
24620141,Quebec,-0.98538,-0.21138,-0.52356,-0.82999,-0.63758,1,Dimension 2,24620141
24620142,Quebec,-0.78745,0.28054,-0.06239,-0.3578,-0.23177,2,Dimension 2,24620142
24620143,Quebec,-0.75256,1.03599,-0.29526,0.38461,0.0932,4,Dimension 2,24620143
24620144,Quebec,-0.58431,0.27288,0.04105,0.39393,0.03089,3,Dimension 4,24620144
24620145,Quebec,-0.65711,0.40621,0.31656,0.06611,0.03294,3,Dimension 2,24620145
24620146,Quebec,-0.60654,0.41654,0.05412,0.48674,0.08771,4,Dimension 4,24620146
24620147,Quebec,-0.59748,0.55393,-0.14933,0.02458,-0.04207,3,Dimension 2,24620147
24620148,Quebec,-0.35757,0.56384,0.22031,0.33344,0.19,4,Dimension 2,24620148
24620149,Quebec,-0.73181,0.63668,-0.11237,-0.05741,-0.06623,3,Dimension 2,24620149
24620150,Quebec,-0.59307,-0.09343,0.24319,0.91177,0.11712,4,Dimension 4,24620150
24620151,Quebec,-0.40536,0.37108,0.09005,-0.09314,-0.00934,3,Dimension 2,24620151
24620152,Quebec,-0.60423,-0.52192,-0.3684,0.80466,-0.17248,3,Dimension 4,24620152
24620153,Quebec,-0.81105,0.51094,-0.02948,0.03989,-0.07243,3,Dimension 2,24620153
24620154,Quebec,-0.50202,0.26897,0.16283,0.22573,0.03888,3,Dimension 2,24620154
24620155,Quebec,-0.56713,0.25411,0.32979,0.26726,0.07101,4,Dimension 3,24620155
24620156,Quebec,-0.89745,0.06284,-0.10776,0.00351,-0.23472,2,Dimension 2,24620156
24620157,Quebec,-0.79381,0.39803,0.05274,0.05853,-0.07113,3,Dimension 2,24620157
24620158,Quebec,-0.38631,1.5224,0.42496,1.12812,0.67229,5,Dimension 2,24620158
24620159,Quebec,-0.0852,2.81047,0.64112,1.09726,1.11591,5,Dimension 2,24620159
24620160,Quebec,-0.03858,3.15975,0.69342,1.72566,1.38506,5,Dimension 2,24620160
24620161,Quebec,-0.47769,0.81477,0.00765,0.29385,0.15965,4,Dimension 2,24620161
24620162,Quebec,-0.37016,1.56472,-0.50628,0.28134,0.24241,4,Dimension 2,24620162
24620163,Quebec,-0.79132,-0.04801,-0.18559,-0.10439,-0.28233,2,Dimension 2,24620163
24620164,Quebec,-0.40244,0.68256,0.40608,0.0645,0.18768,4,Dimension 2,24620164
24620165,Quebec,-0.54148,-0.07543,-0.15132,0.24939,-0.12971,3,Dimension 4,24620165
24620166,Quebec,-0.73347,-0.13489,0.24702,0.62136,1e-05,3,Dimension 4,24620166
24620167,Quebec,-0.76007,0.26332,0.36536,0.17897,0.0119,3,Dimension 3,24620167
24620168,Quebec,-0.73936,0.12721,0.51058,-0.09495,-0.04913,3,Dimension 3,24620168
24620169,Quebec,-0.57515,-0.31093,0.19579,-0.22624,-0.22913,2,Dimension 3,24620169
24620170,Quebec,-0.6985,0.28938,-0.30206,-0.13003,-0.2103,2,Dimension 2,24620170
24620171,Quebec,-0.5083,0.66198,0.70955,0.02084,0.22102,4,Dimension 3,24620171
24620172,Quebec,-0.08604,2.1832,0.05446,1.62637,0.9445,5,Dimension 2,24620172
24620173,Quebec,-0.54354,0.2468,0.35755,0.01887,0.01992,3,Dimension 3,24620173
24620174,Quebec,-0.75354,0.19882,0.0117,0.37429,-0.04218,3,Dimension 4,24620174
24620175,Quebec,-0.67079,0.15695,0.20678,0.35213,0.01127,3,Dimension 4,24620175
24620176,Quebec,-0.62729,0.03799,0.61889,0.31414,0.08593,4,Dimension 3,24620176
24620177,Quebec,-0.41484,1.57859,0.42,1.16439,0.68704,5,Dimension 2,24620177
24620178,Quebec,-0.62477,0.22426,-0.91896,0.40636,-0.22828,2,Dimension 4,24620178
24620179,Quebec,-0.479,0.37188,-0.18097,0.26073,-0.00684,3,Dimension 2,24620179
24620180,Quebec,-0.57044,1.01627,0.30595,0.34705,0.27471,4,Dimension 2,24620180
24620181,Quebec,-0.68678,0.88071,-0.77343,0.09695,-0.12063,3,Dimension 2,24620181
24620182,Quebec,-0.7455,0.71492,-0.29344,-0.26561,-0.14741,3,Dimension 2,24620182
24620183,Quebec,-0.52094,0.84871,-0.17609,0.14759,0.07482,4,Dimension 2,24620183
24620184,Quebec,-0.2106,2.08278,0.13649,-0.42142,0.39682,4,Dimension 2,24620184
24620185,Quebec,-0.74548,0.59361,0.47932,0.77931,0.27669,4,Dimension 4,24620185
24620186,Quebec,-0.50806,0.98924,0.02436,-0.36679,0.03469,3,Dimension 2,24620186
24620187,Quebec,-0.70005,0.30705,-0.11951,-0.09523,-0.15194,3,Dimension 2,24620187
24620188,Quebec,-0.32121,0.11964,0.73007,0.39757,0.23152,4,Dimension 3,24620188
24620193,Quebec,-0.43883,0.91534,0.71139,-0.02534,0.29064,4,Dimension 2,24620193
24620194,Quebec,-0.44896,0.85374,-0.01895,-0.0371,0.08718,4,Dimension 2,24620194
24620195,Quebec,-0.36777,1.62499,1.37369,-0.21495,0.60399,5,Dimension 2,24620195
24620196,Quebec,-0.70822,1.28615,0.15729,-0.71659,0.00466,3,Dimension 2,24620196
24620197,Quebec,-0.49114,0.71598,0.37711,-0.19864,0.10083,4,Dimension 2,24620197
24620198,Quebec,-0.63481,0.74887,0.57992,0.26507,0.23976,4,Dimension 2,24620198
24650001,Quebec,-0.4243,-0.47656,-0.33377,-0.26388,-0.37463,2,Dimension 4,24650001
24650002,Quebec,0.39721,-0.44368,-0.04922,-0.56034,-0.164,3,Dimension 1,24650002
24650003,Quebec,-0.02186,0.00848,-0.25311,-0.0018,-0.06707,3,Dimension 2,24650003
24650004,Quebec,-0.08502,-0.40863,0.01339,-0.57333,-0.2634,2,Dimension 3,24650004
24650005,Quebec,-0.21199,-0.13324,-0.45405,-0.93015,-0.43236,2,Dimension 2,24650005
24650006,Quebec,-0.18031,0.34869,-0.60566,-1.44105,-0.46958,1,Dimension 2,24650006
24650007,Quebec,0.16169,-0.93138,-0.99013,-0.18189,-0.48543,1,Dimension 1,24650007
24650008,Quebec,0.17416,-0.82871,-0.00687,-0.60197,-0.31585,2,Dimension 1,24650008
24650009,Quebec,0.19405,-0.65475,-0.14032,-0.29678,-0.22445,2,Dimension 1,24650009
24650010,Quebec,0.24089,-0.8658,-0.36553,-0.23926,-0.30743,2,Dimension 1,24650010
24650011,Quebec,0.22765,-1.03374,0.65389,-1.09697,-0.31229,2,Dimension 3,24650011
24650012,Quebec,-0.08165,-0.60787,0.01147,-0.74252,-0.35514,2,Dimension 3,24650012
24650013,Quebec,0.13224,-0.74723,-0.64316,-1.03945,-0.5744,1,Dimension 1,24650013
24650014,Quebec,-0.02321,-0.94254,-0.42971,-0.57151,-0.49174,1,Dimension 1,24650014
24650015,Quebec,0.13911,-1.36453,-0.68431,0.02099,-0.47219,1,Dimension 1,24650015
24650016,Quebec,-0.0402,-0.52908,-0.18522,-0.84966,-0.40104,2,Dimension 1,24650016
24650017,Quebec,-0.13696,-0.00689,-0.5951,-0.3333,-0.26806,2,Dimension 2,24650017
24650019,Quebec,0.12079,0.2194,0.18651,-0.60459,-0.01947,3,Dimension 2,24650019
24650020,Quebec,0.09214,-0.11046,0.10782,-0.43269,-0.0858,3,Dimension 3,24650020
24650023,Quebec,0.04484,-0.58654,-0.35208,-0.32295,-0.30418,2,Dimension 1,24650023
24650024,Quebec,-0.16353,-0.4561,-0.35516,-1.08185,-0.51416,1,Dimension 1,24650024
24650025,Quebec,-0.37684,-0.57924,-0.88334,-1.09893,-0.73459,1,Dimension 1,24650025
24650026,Quebec,-0.08711,-0.94886,-0.71997,-0.54357,-0.57488,1,Dimension 1,24650026
24650027,Quebec,0.20148,-1.27111,-0.47107,-0.27833,-0.45476,1,Dimension 1,24650027
24650030,Quebec,-0.31518,-0.65353,-0.36721,-0.83198,-0.54197,1,Dimension 1,24650030
24650031,Quebec,-0.36819,0.59258,-0.11047,-0.68735,-0.14336,3,Dimension 2,24650031
24650032,Quebec,-0.64778,-0.79574,-0.56384,-0.60199,-0.65234,1,Dimension 3,24650032
24650033,Quebec,-0.66239,0.05375,-1.01097,-0.8343,-0.61348,1,Dimension 2,24650033
24650034,Quebec,-0.79978,-0.37774,-0.58471,-0.7035,-0.61643,1,Dimension 2,24650034
24650035,Quebec,-0.4453,-0.04183,-0.81279,-0.34378,-0.41093,2,Dimension 2,24650035
24650036,Quebec,-0.20806,0.36024,-0.53752,-0.26072,-0.16151,3,Dimension 2,24650036
24650037,Quebec,-0.41887,-0.92558,-0.50786,-0.49221,-0.58613,1,Dimension 1,24650037
24650038,Quebec,-0.21254,-0.62804,-0.55258,-0.63723,-0.5076,1,Dimension 1,24650038
24650039,Quebec,-0.34049,-0.73942,-0.58439,-0.52102,-0.54633,1,Dimension 1,24650039
24650040,Quebec,-0.17151,-0.03735,-0.55481,-1.26658,-0.50756,1,Dimension 2,24650040
24650041,Quebec,-0.38985,-0.43976,-0.70084,-0.91328,-0.61093,1,Dimension 1,24650041
24650045,Quebec,-0.17384,-0.30498,-0.1002,-0.81881,-0.34946,2,Dimension 3,24650045
24650046,Quebec,0.17416,-0.04362,-0.6984,-0.20701,-0.19372,3,Dimension 1,24650046
24650047,Quebec,0.05064,-1.13565,-0.2289,-0.0805,-0.3486,2,Dimension 1,24650047
24650048,Quebec,-0.06995,-0.50168,-0.47637,-0.5822,-0.40755,2,Dimension 1,24650048
24650049,Quebec,-0.00121,-0.6192,-0.75143,-0.69399,-0.51646,1,Dimension 1,24650049
24650050,Quebec,-0.16132,-1.11375,-0.54116,-0.447,-0.56581,1,Dimension 1,24650050
24650051,Quebec,-0.48185,-0.62878,-0.75729,-0.45925,-0.58179,1,Dimension 4,24650051
24650052,Quebec,-0.10847,-0.68179,-0.86788,-0.97146,-0.6574,1,Dimension 1,24650052
24650053,Quebec,0.0086,-0.17116,-0.59831,-0.59751,-0.3396,2,Dimension 1,24650053
24650054,Quebec,-0.44229,-0.53046,-1.00948,-0.82095,-0.70079,1,Dimension 1,24650054
24650056,Quebec,-0.36691,-0.09034,-0.37904,-1.05519,-0.47287,1,Dimension 2,24650056
24650057,Quebec,-0.59314,-0.16269,-0.32778,-0.91215,-0.49894,1,Dimension 2,24650057
24650058,Quebec,-0.31333,-0.15861,-0.19232,-0.48876,-0.28826,2,Dimension 2,24650058
24650059,Quebec,-0.04098,-0.18557,-0.83331,-0.95686,-0.50418,1,Dimension 1,24650059
24650060,Quebec,0.14188,-0.38963,-0.33876,-1.29702,-0.47088,1,Dimension 1,24650060
24650061,Quebec,-0.38082,-0.60126,-0.77392,-0.85556,-0.65289,1,Dimension 1,24650061
24650062,Quebec,-0.10348,0.04877,-1.01854,-1.14603,-0.55482,1,Dimension 2,24650062
24650063,Quebec,-0.81762,-0.67417,-0.44768,-1.2101,-0.78739,1,Dimension 3,24650063
24650064,Quebec,-0.25162,-0.14472,-0.50824,-1.16637,-0.51774,1,Dimension 2,24650064
