ï»¿Dissemination Area (DA),Province or territory,Dimension 1 Scores,Dimension 2 Scores,Dimension 3 Scores,Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension,da_str
24580063,Quebec,-0.21705,-0.36778,0.19128,1.00053,0.15175,4,Dimension 4,24580063
24580064,Quebec,-0.61769,0.02364,-0.52581,-0.00316,-0.28075,2,Dimension 2,24580064
24580065,Quebec,0.3725,0.13318,0.16004,0.90238,0.39203,4,Dimension 4,24580065
24580066,Quebec,0.89737,-0.91192,1.16669,0.63138,0.44588,5,Dimension 3,24580066
24580067,Quebec,0.7462,0.70099,0.7623,1.09008,0.82489,5,Dimension 4,24580067
24580068,Quebec,0.60073,-0.50619,0.21123,0.9811,0.32171,4,Dimension 4,24580068
24580069,Quebec,0.10017,-0.4115,0.21613,1.5194,0.35605,4,Dimension 4,24580069
24580070,Quebec,0.53133,2.46658,-0.41744,0.23114,0.7029,5,Dimension 2,24580070
24580071,Quebec,-0.04045,0.13717,0.13859,0.19416,0.10737,4,Dimension 4,24580071
24580072,Quebec,0.77643,-0.74646,0.06922,1.37076,0.36749,4,Dimension 4,24580072
24580073,Quebec,0.66363,-0.13633,-0.07583,0.04517,0.12416,4,Dimension 1,24580073
24580074,Quebec,-0.37671,-0.92819,-0.16898,0.33165,-0.28556,2,Dimension 4,24580074
24580075,Quebec,0.6797,-0.26696,0.22752,0.84094,0.3703,4,Dimension 4,24580075
24580076,Quebec,0.74172,-0.9767,-0.37114,0.61778,0.00292,3,Dimension 1,24580076
24580077,Quebec,0.18114,-0.4579,1.73123,-0.12578,0.33217,4,Dimension 3,24580077
24580078,Quebec,0.46756,-0.73959,0.77618,0.81699,0.33029,4,Dimension 4,24580078
24580079,Quebec,0.94634,-0.72074,-0.45898,1.19095,0.23939,4,Dimension 4,24580079
24580080,Quebec,1.38375,-1.29459,0.86017,1.12642,0.51894,5,Dimension 1,24580080
24580081,Quebec,0.42138,-0.11759,-0.49077,0.76424,0.14432,4,Dimension 4,24580081
24580082,Quebec,0.55788,1.75169,-0.28047,0.55197,0.64527,5,Dimension 2,24580082
24580083,Quebec,0.51608,-1.1747,0.39181,0.68311,0.10407,4,Dimension 4,24580083
24580084,Quebec,0.34461,1.45648,0.18464,0.95341,0.73478,5,Dimension 2,24580084
24580085,Quebec,0.44423,-0.22666,-0.02982,0.37776,0.14138,4,Dimension 1,24580085
24580087,Quebec,1.36493,0.68609,1.08235,1.83304,1.2416,5,Dimension 4,24580087
24580088,Quebec,1.22624,0.271,1.32844,1.39836,1.05601,5,Dimension 4,24580088
24580089,Quebec,0.05962,-0.37932,0.20012,0.77343,0.16346,4,Dimension 4,24580089
24580090,Quebec,0.1285,1.05546,-0.17285,-0.38916,0.15549,4,Dimension 2,24580090
24580091,Quebec,0.28341,-0.28761,-0.59319,1.05006,0.11317,4,Dimension 4,24580091
24580092,Quebec,1.38559,-1.07524,0.30267,1.75485,0.59197,5,Dimension 4,24580092
24580093,Quebec,0.50262,0.28011,0.90242,0.83181,0.62924,5,Dimension 3,24580093
24580094,Quebec,-0.02648,-0.60988,-0.2748,-0.41735,-0.33213,2,Dimension 1,24580094
24580095,Quebec,0.03127,-0.48823,0.64966,0.68876,0.22036,4,Dimension 4,24580095
24580096,Quebec,-0.16953,-0.08959,-0.03658,0.36843,0.01818,3,Dimension 4,24580096
24580097,Quebec,1.26362,-0.35724,0.32792,1.55108,0.69635,5,Dimension 4,24580097
24580098,Quebec,-0.10212,1.3987,-0.2436,1.12439,0.54434,5,Dimension 2,24580098
24580099,Quebec,0.42515,0.191,-0.29461,0.76693,0.27212,4,Dimension 4,24580099
24580100,Quebec,0.48211,0.0071,1.02957,1.49304,0.75295,5,Dimension 4,24580100
24580101,Quebec,0.00728,-0.40342,-0.18529,0.66121,0.01995,3,Dimension 4,24580101
24580102,Quebec,0.26834,0.66032,0.32769,0.4146,0.41774,5,Dimension 2,24580102
24580103,Quebec,0.31304,-0.47036,-0.1486,0.85691,0.13775,4,Dimension 4,24580103
24580104,Quebec,0.61792,-0.45466,0.45045,0.62382,0.30938,4,Dimension 4,24580104
24580105,Quebec,0.16131,0.1216,0.21432,0.38875,0.22149,4,Dimension 4,24580105
24580106,Quebec,0.59034,-0.46816,0.20365,0.60181,0.23191,4,Dimension 4,24580106
24580107,Quebec,1.40898,-1.72761,0.05628,0.28859,0.00656,3,Dimension 1,24580107
24580108,Quebec,-0.17768,-0.66388,0.36364,1.46537,0.24686,4,Dimension 4,24580108
24580109,Quebec,0.59776,0.43963,1.20297,0.6701,0.72761,5,Dimension 3,24580109
24580110,Quebec,0.6263,0.04536,0.36987,0.85572,0.47431,5,Dimension 4,24580110
24580112,Quebec,0.59757,0.25323,0.09885,0.67293,0.40565,4,Dimension 4,24580112
24580113,Quebec,0.48718,-0.3479,0.50262,1.05283,0.42368,5,Dimension 4,24580113
24580114,Quebec,0.78154,1.12381,0.22274,0.90138,0.75737,5,Dimension 2,24580114
24580115,Quebec,0.95415,-0.2896,0.48568,0.96944,0.52992,5,Dimension 4,24580115
24580116,Quebec,-0.23964,0.405,-0.28518,-0.64421,-0.19101,3,Dimension 2,24580116
24580117,Quebec,0.30061,-0.7325,0.61217,0.91931,0.2749,4,Dimension 4,24580117
24580118,Quebec,0.083,-0.60598,-0.56352,0.4734,-0.15328,3,Dimension 4,24580118
24580119,Quebec,0.82015,-0.88603,0.05542,0.31282,0.07559,4,Dimension 1,24580119
24580120,Quebec,1.02489,0.84697,0.4737,0.66994,0.75388,5,Dimension 1,24580120
24580121,Quebec,0.65663,-0.48343,0.89622,0.51837,0.39695,4,Dimension 3,24580121
24580122,Quebec,0.72373,-0.3946,-0.16948,1.50429,0.41599,5,Dimension 4,24580122
24580123,Quebec,0.63462,-0.47537,-0.34625,0.37479,0.04695,3,Dimension 1,24580123
24580124,Quebec,-0.03305,-0.62718,-0.31205,0.65807,-0.07855,3,Dimension 4,24580124
24580125,Quebec,-0.0709,-0.9371,0.27014,0.77075,0.00822,3,Dimension 4,24580125
24580126,Quebec,0.57666,-0.37751,-0.19817,1.12283,0.28095,4,Dimension 4,24580126
24580127,Quebec,0.19328,-0.75874,-0.21432,1.03289,0.06328,4,Dimension 4,24580127
24580128,Quebec,0.28288,-0.68679,0.29741,1.20721,0.27518,4,Dimension 4,24580128
24580132,Quebec,1.85789,-0.77742,-1.39042,2.18052,0.46764,5,Dimension 4,24580132
24580134,Quebec,1.13866,1.55058,-1.32386,1.96182,0.8318,5,Dimension 4,24580134
24580135,Quebec,1.36501,0.92585,-1.39837,2.37639,0.81722,5,Dimension 4,24580135
24580136,Quebec,1.51092,4.21737,-0.22449,1.42878,1.73314,5,Dimension 2,24580136
24580137,Quebec,1.10766,1.05972,0.69545,2.43369,1.32413,5,Dimension 4,24580137
24580138,Quebec,-0.19656,0.58006,-1.30068,0.94239,0.0063,3,Dimension 4,24580138
24580139,Quebec,-0.15485,-0.94895,-1.06738,0.0554,-0.52894,1,Dimension 4,24580139
24580140,Quebec,-0.5508,-0.67447,-0.76002,0.29556,-0.42243,2,Dimension 4,24580140
24580141,Quebec,-0.22658,-0.56055,-0.61406,0.78017,-0.15526,3,Dimension 4,24580141
24580142,Quebec,-0.06887,1.37751,-1.58085,0.42163,0.03735,3,Dimension 2,24580142
24580143,Quebec,0.1688,1.32573,-1.24224,0.19165,0.11098,4,Dimension 2,24580143
24580144,Quebec,0.26625,-1.36557,-0.6508,1.15388,-0.14906,3,Dimension 4,24580144
24580145,Quebec,-0.38286,-0.84316,-1.48148,-1.19003,-0.97438,1,Dimension 1,24580145
24580146,Quebec,-0.55039,-0.60462,-1.52651,-1.65356,-1.08377,1,Dimension 1,24580146
24580147,Quebec,-0.40687,-0.71412,-1.01418,-0.4962,-0.65784,1,Dimension 1,24580147
24580148,Quebec,-0.37548,-0.79459,-1.0696,-0.42673,-0.6666,1,Dimension 1,24580148
24580149,Quebec,-0.63988,-0.95936,-1.47382,-0.96063,-1.00842,1,Dimension 1,24580149
24580150,Quebec,-0.21399,-0.35919,-0.91723,-0.33156,-0.45549,1,Dimension 1,24580150
24580151,Quebec,-0.04886,-0.14154,-0.73846,0.0136,-0.22881,2,Dimension 4,24580151
24580152,Quebec,-0.54858,-1.02237,-1.28516,-1.15026,-1.00159,1,Dimension 1,24580152
24580153,Quebec,0.68221,3.03476,-1.96371,0.94549,0.67468,5,Dimension 2,24580153
24580154,Quebec,0.71117,2.39315,-1.50518,1.12043,0.67989,5,Dimension 2,24580154
24580155,Quebec,1.22828,4.46731,-2.02772,1.27242,1.23507,5,Dimension 2,24580155
24580156,Quebec,0.40288,1.44305,-1.86686,1.17592,0.28875,4,Dimension 2,24580156
24580157,Quebec,-0.41525,-1.19629,-1.26123,-0.91884,-0.9479,1,Dimension 1,24580157
24580158,Quebec,-0.38306,-0.69806,-1.17547,-0.28661,-0.6358,1,Dimension 4,24580158
24580159,Quebec,-0.43261,-0.53926,-1.50221,-1.40267,-0.96919,1,Dimension 1,24580159
24580160,Quebec,-0.14104,-1.32758,-0.65443,-0.13601,-0.56476,1,Dimension 4,24580160
24580162,Quebec,0.14977,-0.0151,-1.23885,0.61632,-0.12196,3,Dimension 4,24580162
24580163,Quebec,0.34272,1.56245,0.11087,1.83159,0.96191,5,Dimension 4,24580163
24580164,Quebec,0.18458,-0.57356,0.16271,0.91352,0.17181,4,Dimension 4,24580164
24580165,Quebec,0.99634,-0.07449,0.78816,1.37546,0.77137,5,Dimension 4,24580165
24580166,Quebec,-0.07784,0.25607,0.87803,1.45407,0.62758,5,Dimension 4,24580166
24580167,Quebec,0.03534,0.60747,-1.15916,-0.42535,-0.23543,2,Dimension 2,24580167
24580168,Quebec,0.08081,-0.08755,-0.62893,0.24365,-0.098,3,Dimension 4,24580168
24580169,Quebec,0.02959,2.54708,-0.80571,0.69134,0.61557,5,Dimension 2,24580169
24580170,Quebec,0.36478,-0.44801,-0.4283,0.55216,0.01016,3,Dimension 4,24580170
24580171,Quebec,0.51791,0.04706,-0.60315,0.07622,0.00951,3,Dimension 1,24580171
24580172,Quebec,-0.11517,-0.69898,-0.81921,0.63429,-0.24977,2,Dimension 4,24580172
24580173,Quebec,-0.52741,-0.45109,-0.68253,-0.36104,-0.50552,1,Dimension 4,24580173
24580174,Quebec,-0.21588,0.13009,-0.24911,-0.18856,-0.13087,3,Dimension 2,24580174
24580175,Quebec,0.32748,-0.0466,-0.33644,0.64484,0.14732,4,Dimension 4,24580175
24580176,Quebec,0.24463,6e-05,0.05956,0.00501,0.07732,4,Dimension 1,24580176
24580177,Quebec,1.37489,0.26561,1.17185,0.1407,0.73826,5,Dimension 1,24580177
24580178,Quebec,-0.32338,0.21099,-0.57545,-0.86363,-0.38787,2,Dimension 2,24580178
24580179,Quebec,0.12141,-0.29934,-0.11055,-0.39555,-0.17101,3,Dimension 1,24580179
24580180,Quebec,-0.15586,-0.22854,0.74076,-0.27915,0.0193,3,Dimension 3,24580180
24580181,Quebec,1.09226,-0.58443,0.13848,0.88452,0.38271,4,Dimension 1,24580181
24580182,Quebec,0.40241,-0.00594,0.24917,0.29113,0.23419,4,Dimension 1,24580182
24580183,Quebec,0.97909,-0.00383,0.20386,0.63235,0.45287,5,Dimension 1,24580183
24580184,Quebec,0.3678,-0.76102,0.2285,0.96844,0.20093,4,Dimension 4,24580184
24580185,Quebec,0.64555,0.18139,0.37444,0.74268,0.48602,5,Dimension 4,24580185
24580186,Quebec,0.23095,1.60283,-0.32294,-0.04308,0.36694,4,Dimension 2,24580186
24580187,Quebec,-0.29528,-0.44327,-0.06005,0.34367,-0.11373,3,Dimension 4,24580187
24580188,Quebec,0.1319,0.11703,0.15686,-0.87855,-0.11819,3,Dimension 3,24580188
24580189,Quebec,-0.37439,-0.9579,-0.21604,0.16703,-0.34533,2,Dimension 4,24580189
24580190,Quebec,0.15629,-0.13267,-0.08475,0.17335,0.02806,3,Dimension 4,24580190
24580191,Quebec,0.83464,-1.01532,0.26002,-0.21215,-0.0332,3,Dimension 1,24580191
24580192,Quebec,0.01312,-1.0161,-0.41779,0.41933,-0.25036,2,Dimension 4,24580192
24580193,Quebec,-0.24944,-0.05163,0.15648,0.03549,-0.02728,3,Dimension 3,24580193
24580194,Quebec,1.02206,-0.60314,-0.23332,1.03583,0.30536,4,Dimension 4,24580194
24580195,Quebec,0.32256,0.07439,0.09984,0.96919,0.3665,4,Dimension 4,24580195
24580196,Quebec,0.13077,-0.33126,-0.31973,0.42941,-0.0227,3,Dimension 4,24580196
24580197,Quebec,0.3977,-0.64769,0.41873,0.63686,0.2014,4,Dimension 4,24580197
24580198,Quebec,0.17359,0.76102,0.38708,0.92197,0.56092,5,Dimension 4,24580198
