ct_code,dguid,geo_name,population_2021,low_income_pct,seniors_65plus_pct,recent_immigrant_pct,no_official_language_pct,shelter_cost_burden_pct,indigenous_identity_pct,indigenous_identity_count,total_indigenous_identity_universe
4620038,2021S05074620038.00,4620038,1976,25.7,9.1,4.99,1.77,18.65,1.0,20,2005
4620039,2021S05074620039.00,4620039,2142,22.7,10,8.43,0.7,28.83,1.77,40,2255
4620040,2021S05074620040.00,4620040,0,,,,,,,,
4620041,2021S05074620041.00,4620041,1814,22.1,9.6,9.78,0.28,32.02,1.68,30,1790
4620042,2021S05074620042.00,4620042,1145,24,13.5,3.96,0.87,24.66,2.19,25,1140
4620043,2021S05074620043.00,4620043,1385,23.6,8.3,6.53,0.73,35.19,0.82,10,1225
4620044,2021S05074620044.00,4620044,2164,22.3,10.9,5.46,0.69,23.74,1.75,40,2285
4620045,2021S05074620045.00,4620045,1493,22.5,17.4,3.53,0.34,26.37,2.13,30,1410
4620046,2021S05074620046.00,4620046,2143,22.8,8.6,5.3,1.17,28.02,0.69,15,2170
4620047,2021S05074620047.00,4620047,728,19.2,6.9,6.04,0.69,20.25,1.34,10,745
4620048,2021S05074620048.00,4620048,2302,15.3,5.2,6.62,0.65,24.43,1.49,35,2345
4620049,2021S05074620049.00,4620049,1399,24,15.7,8.64,1.07,32.67,0.82,10,1220
4620050,2021S05074620050.00,4620050,1364,31.6,15.8,6.99,1.95,21.53,1.1,15,1360
4620051,2021S05074620051.00,4620051,1907,24,10.2,6.74,1.06,40.29,0.59,10,1700
4620052,2021S05074620052.00,4620052,2208,30.8,14.9,5.04,2.28,25.32,4.8,100,2085
4620053,2021S05074620053.00,4620053,1385,27.2,24.9,7.95,1.08,40.12,1.51,20,1325
4620054,2021S05074620054.00,4620054,1444,19,13.2,7.56,0.71,23.97,0.89,10,1120
4620055.01,2021S05074620055.01,4620055.01,5726,14.6,17.7,5.21,0.71,27.59,0.81,45,5560
4620055.02,2021S05074620055.02,4620055.02,559,9.2,53.6,0,0,29.51,0.0,0,555
4620056,2021S05074620056.00,4620056,1963,31.8,26.8,8.33,14.47,44.3,1.04,20,1920
4620057,2021S05074620057.00,4620057,1963,33.4,23.2,10.22,10.15,35.71,2.87,45,1570
4620058,2021S05074620058.00,4620058,1251,30.7,18.3,11.16,8,28.15,0.0,0,1120
4620059,2021S05074620059.00,4620059,1428,20.4,17.5,6.14,1.4,27.91,1.09,15,1380
4620060,2021S05074620060.00,4620060,1082,49.4,34.3,0,11.57,9.47,0.0,0,1055
4620061,2021S05074620061.00,4620061,1325,22.4,7.2,7.39,0.38,45.32,0.87,10,1155
4620062,2021S05074620062.00,4620062,4679,33.8,6.9,9.94,1.71,54.77,0.44,20,4520
4620063,2021S05074620063.00,4620063,5477,48.7,3.8,16.02,2.74,63.26,0.49,25,5055
4620064,2021S05074620064.00,4620064,1949,44.5,9.7,10.14,1.54,54.26,0.0,0,1775
4620065.01,2021S05074620065.01,4620065.01,6388,43.1,8.7,12.59,2.11,56.19,0.15,10,6595
4620065.02,2021S05074620065.02,4620065.02,3629,38.7,10.9,11.21,2.07,50.75,0.44,15,3390
4620066.01,2021S05074620066.01,4620066.01,3684,38,9.2,9.89,1.63,52.57,0.51,20,3945
4620066.02,2021S05074620066.02,4620066.02,3178,39.9,16.4,9.8,3.51,50.9,1.09,35,3215
4620067,2021S05074620067.00,4620067,1839,26,10.1,3.69,2.75,18.12,1.71,30,1755
4620068,2021S05074620068.00,4620068,1901,31.4,9.7,3.26,2.62,9.4,0.0,0,1685
4620069.01,2021S05074620069.01,4620069.01,4563,22.5,10.6,11.28,2.3,34.3,0.42,20,4750
4620069.02,2021S05074620069.02,4620069.02,4206,13.9,5.2,7.68,1.31,25.59,0.61,25,4105
4620070.01,2021S05074620070.01,4620070.01,3767,14.1,5.2,6.9,0.53,29.91,0.28,10,3555
4620070.02,2021S05074620070.02,4620070.02,5908,13,2.8,10.14,0.85,29.2,0.48,25,5180
4620071,2021S05074620071.00,4620071,0,,,,,,,,
4620072,2021S05074620072.00,4620072,3634,22,11.6,2.94,1.11,14.8,2.54,95,3745
4620073,2021S05074620073.00,4620073,1936,20.9,18,2.75,0.78,31.78,2.75,50,1815
4620074,2021S05074620074.00,4620074,3631,16.4,9,2.46,0.83,20.35,2.46,85,3460
4620075,2021S05074620075.00,4620075,2675,20.2,10.8,3.67,1.12,18.86,1.47,40,2720
4620076,2021S05074620076.00,4620076,3305,21.3,13,5.26,0.93,20.9,1.39,45,3230
4620077,2021S05074620077.00,4620077,4025,20.8,13.9,4.42,1.55,18.66,0.95,40,4195
4620078,2021S05074620078.00,4620078,3955,22,21.4,3.03,2.03,24.06,1.89,75,3965
4620079,2021S05074620079.00,4620079,4579,20.3,12.2,4.63,0.66,23.48,0.76,35,4635
4620080,2021S05074620080.00,4620080,782,12.6,6.4,2.45,0.64,23.38,0.0,0,810
4620081,2021S05074620081.00,4620081,3553,17.1,7,3.81,0.57,26.9,0.73,25,3410
4620082,2021S05074620082.00,4620082,2186,24.4,8.7,3.91,1.62,22.52,1.15,25,2180
4620083,2021S05074620083.00,4620083,3406,17.4,9.1,3.82,0.44,23.22,0.88,30,3405
4620084,2021S05074620084.00,4620084,2793,24.4,28.3,2.43,1.35,25.99,0.61,15,2460
4620085,2021S05074620085.00,4620085,747,18.4,10.1,8.45,2.04,28.36,0.0,0,710
4620086,2021S05074620086.00,4620086,3934,16.2,18.6,3.63,1.53,22.77,1.04,40,3855
4620087,2021S05074620087.00,4620087,3221,19.4,10.9,5.48,1.24,16.77,1.41,45,3195
4620088,2021S05074620088.00,4620088,3585,19.3,20.1,3.44,1.12,22.01,3.29,115,3495
4620089,2021S05074620089.00,4620089,4916,15.6,15.4,4.15,2.85,22.31,1.32,65,4935
4620090,2021S05074620090.00,4620090,4589,20.5,16.3,7.41,3.72,19.44,1.11,50,4520
4620091,2021S05074620091.00,4620091,0,,,,,,,,
4620092,2021S05074620092.00,4620092,5984,18.7,20.6,4.21,3.44,19.29,1.38,80,5815
4620093,2021S05074620093.00,4620093,3253,16.7,13.8,2.35,1.25,24.03,3.28,105,3200
4620094.01,2021S05074620094.01,4620094.01,6306,24.1,12.5,8.9,2.08,24.96,1.43,90,6295
4620094.02,2021S05074620094.02,4620094.02,10,,,,,,,,
4620095,2021S05074620095.00,4620095,2147,20,12.1,4.98,0.99,32.57,1.0,20,2010
4620096,2021S05074620096.00,4620096,2370,15,11.8,4.97,1.27,23.36,1.94,45,2320
4620097.01,2021S05074620097.01,4620097.01,6174,26.2,12.7,8.43,2.59,31.27,1.22,75,6170
4620097.02,2021S05074620097.02,4620097.02,4133,32.1,18,11.02,3.4,37.68,0.65,25,3850
4620098,2021S05074620098.00,4620098,5466,13.7,18.8,5.87,1.65,22.48,0.64,35,5460
4620099,2021S05074620099.00,4620099,5742,19.5,21,6.56,2.52,23.44,0.61,35,5715
4620100.01,2021S05074620100.01,4620100.01,4147,18.7,14.7,7.21,2.29,27.06,0.36,15,4160
4620100.02,2021S05074620100.02,4620100.02,3442,17.2,14.2,7.66,2.91,26.03,0.58,20,3455
4620101.01,2021S05074620101.01,4620101.01,4082,22.5,21.8,7.75,2.82,26.54,0.25,10,4060
4620101.02,2021S05074620101.02,4620101.02,3728,23.6,16.8,11.61,2.22,28.34,0.7,25,3575
4620102,2021S05074620102.00,4620102,4254,13.2,19,4.25,1.41,24.69,1.58,65,4120
4620103,2021S05074620103.00,4620103,2325,9.6,19.6,2.44,0.86,19.27,0.41,10,2455
4620104,2021S05074620104.00,4620104,2818,9.7,19.3,3.37,1.07,15,1.95,55,2815
4620105,2021S05074620105.00,4620105,3425,10.6,17.8,3.65,0.73,21.41,0.88,30,3420
4620106,2021S05074620106.00,4620106,2107,14.2,22.7,8.33,1.06,27.27,1.07,20,1865
4620107,2021S05074620107.00,4620107,1539,20.2,11.1,5.41,1.3,27.98,0.64,10,1570
4620108,2021S05074620108.00,4620108,3947,11,24.2,3.88,0.78,25.54,0.42,15,3610
4620109,2021S05074620109.00,4620109,1907,15.4,17.5,4.36,2.1,25.53,0.0,0,1840
4620110,2021S05074620110.00,4620110,4212,20,11.4,8.97,1.9,29.9,1.23,50,4075
4620111,2021S05074620111.00,4620111,7142,17.4,18.5,6.03,2.25,29.18,0.65,45,6965
4620112.01,2021S05074620112.01,4620112.01,5718,18,12,13,2.98,21.28,0.0,0,5840
4620112.02,2021S05074620112.02,4620112.02,4192,27.6,22.3,16.45,4.43,24.63,0.0,0,4255
4620113,2021S05074620113.00,4620113,4987,17.1,13.7,10.25,2.12,26.92,0.72,35,4880
4620114,2021S05074620114.00,4620114,2183,14.2,16,7.22,1.15,26.2,0.64,15,2355
4620115.01,2021S05074620115.01,4620115.01,2080,15.9,16.6,11.11,1.44,31.87,0.0,0,2120
4620115.02,2021S05074620115.02,4620115.02,5957,26.6,20.1,11.17,1.26,41.64,0.76,45,5905
4620116,2021S05074620116.00,4620116,6765,25.5,15.4,12.19,2.08,29.54,0.54,35,6485
4620117,2021S05074620117.00,4620117,4243,17,16,17.44,2.83,20.39,0.0,0,3900
4620118,2021S05074620118.00,4620118,4396,17,12.3,16.61,2.85,20.63,0.0,0,4450
4620119,2021S05074620119.00,4620119,6142,22.4,11,14.87,3.5,20.8,0.41,25,6115
4620120.01,2021S05074620120.01,4620120.01,7337,21.1,8.2,11.15,3.27,29.53,0.21,15,7175
4620120.02,2021S05074620120.02,4620120.02,1114,4.6,35,0,0.9,36.46,0.0,0,1115
4620121,2021S05074620121.00,4620121,2078,10.7,27.4,9.82,1.35,23.45,0.0,0,1980
4620122,2021S05074620122.00,4620122,6517,31.4,11.5,13.55,3.13,27.73,0.55,35,6345
4620123,2021S05074620123.00,4620123,6480,28.2,11.1,12.47,1.98,32.59,0.48,30,6300
4620124,2021S05074620124.00,4620124,5872,25.4,8.3,9.91,1.87,28.14,0.68,40,5850
4620125,2021S05074620125.00,4620125,6344,14.7,26.3,6.39,1.27,27.65,0.32,20,6180
4620126,2021S05074620126.00,4620126,2280,27.9,10.3,4.71,0.67,40.11,0.0,0,2015
4620127.01,2021S05074620127.01,4620127.01,5578,35.4,14.4,9,1.17,44.08,0.45,25,5555
4620127.02,2021S05074620127.02,4620127.02,21,,,,,,,,
4620128,2021S05074620128.00,4620128,3839,17,27.4,6.88,1.31,36.57,0.38,15,3995
4620129.01,2021S05074620129.01,4620129.01,4249,23.1,27.6,7.81,0.71,45.07,0.83,35,4225
4620129.02,2021S05074620129.02,4620129.02,3602,35.7,23.5,8.77,0.83,56.15,0.44,15,3425
4620130,2021S05074620130.00,4620130,3017,48.7,7.5,6.64,0.66,50.14,0.7,20,2865
4620131,2021S05074620131.00,4620131,3201,44.4,14.4,6.65,1.25,53,0.46,15,3240
4620132,2021S05074620132.00,4620132,5151,35.3,17.2,6.72,0.84,45.56,2.24,105,4690
4620133,2021S05074620133.00,4620133,2645,34.4,9.5,8.09,0.95,45.05,1.97,50,2535
4620134,2021S05074620134.00,4620134,1136,19,16.3,8.72,0,35.16,1.83,20,1095
4620135,2021S05074620135.00,4620135,1717,17.2,14.8,3.95,0.58,33.13,0.91,15,1650
4620136,2021S05074620136.00,4620136,2861,26.8,8.9,7.03,1.4,38.44,0.35,10,2840
4620137,2021S05074620137.00,4620137,1165,35,12,5.53,0.86,48.84,0.0,0,1175
4620138,2021S05074620138.00,4620138,2077,30,12.8,3.31,1.45,36.71,1.27,25,1970
4620139,2021S05074620139.00,4620139,3223,21.4,8.8,6.7,1.09,28.99,1.09,35,3205
4620140,2021S05074620140.00,4620140,1388,14,13.7,6.67,0.72,26.47,0.0,0,1350
4620141,2021S05074620141.00,4620141,1722,15.2,9.6,4.13,0.29,21.56,0.55,10,1820
4620142,2021S05074620142.00,4620142,1683,24.4,14.8,4.11,0.89,22.81,0.88,15,1705
4620143,2021S05074620143.00,4620143,2691,24.4,32.9,8.2,0.37,33.66,0.82,20,2440
4620144,2021S05074620144.00,4620144,3542,18.6,13.7,8.35,0.42,33.08,0.9,30,3350
4620145,2021S05074620145.00,4620145,0,,,,,,,,
4620146,2021S05074620146.00,4620146,2455,18,8.4,6.32,0.2,29.96,0.0,0,2530
4620147,2021S05074620147.00,4620147,2905,15.1,8.4,6.34,0.34,24.45,1.06,30,2840
4620148,2021S05074620148.00,4620148,1223,10.4,21.7,6.93,0.5,24.74,0.0,0,1010
4620149,2021S05074620149.00,4620149,3238,19.2,13.6,4.93,0.31,31.2,1.43,45,3150
4620150,2021S05074620150.00,4620150,2412,23.5,11.4,5,0.43,32.49,0.84,20,2395
4620151,2021S05074620151.00,4620151,2124,17.1,12.2,7.5,0.24,21.13,2.51,50,1995
4620152,2021S05074620152.00,4620152,1650,14.2,9.7,5.04,1.21,20.97,1.48,25,1685
4620153,2021S05074620153.00,4620153,812,26.4,8.6,6.67,1.27,32.93,1.34,10,745
4620154,2021S05074620154.00,4620154,1104,12,7.3,3.38,0.9,22.13,0.0,0,1040
4620155,2021S05074620155.00,4620155,1813,14.7,8,8.03,0.55,26.6,1.11,20,1805
4620156,2021S05074620156.00,4620156,1955,16.9,7.9,4.84,0.26,26.76,1.08,20,1860
4620157,2021S05074620157.00,4620157,2152,12.1,10.2,7.47,0.23,22.08,2.94,65,2210
4620158,2021S05074620158.00,4620158,2094,19.6,11.2,6.9,0,27.31,1.23,25,2025
4620159,2021S05074620159.00,4620159,1886,11.2,9.5,7.51,0,19.58,1.04,20,1930
4620160,2021S05074620160.00,4620160,1738,22.7,12.1,6.67,0.57,28.08,1.16,20,1725
4620161,2021S05074620161.00,4620161,1980,20.3,9.1,5.41,1.52,31.98,0.49,10,2035
4620162,2021S05074620162.00,4620162,1755,18.5,8,7.43,0.86,27.92,1.43,25,1750
4620163,2021S05074620163.00,4620163,3090,15.5,11.7,4.12,1.46,31.65,0.99,30,3040
4620164,2021S05074620164.00,4620164,1586,17.2,13.2,7.52,0.95,31.75,0.66,10,1525
4620165,2021S05074620165.00,4620165,2322,18.3,6.9,4.31,6.03,42.62,0.95,20,2095
4620166,2021S05074620166.00,4620166,574,15.2,5.2,4.72,1.74,35.71,0.0,0,535
4620167,2021S05074620167.00,4620167,2453,15,8.1,6.52,6.52,33.03,1.02,25,2455
4620168,2021S05074620168.00,4620168,2826,13.3,10.3,3.48,6.21,27.78,0.87,25,2870
4620169,2021S05074620169.00,4620169,2099,10.5,12.6,3.13,1.19,23.32,0.45,10,2235
4620170,2021S05074620170.00,4620170,2098,16.1,10.5,5.02,1.91,28.71,0.48,10,2095
4620171,2021S05074620171.00,4620171,4778,22.6,19.2,4.67,0.84,28.52,0.76,35,4605
4620172,2021S05074620172.00,4620172,2656,21.6,5.6,7.53,0.75,30.03,1.13,30,2660
4620173,2021S05074620173.00,4620173,2041,17.4,7.8,7.13,0.49,28.76,1.47,30,2035
4620174,2021S05074620174.00,4620174,2110,11.3,9.7,8.28,0.24,22.04,0.46,10,2175
4620175,2021S05074620175.00,4620175,1992,11.1,9.5,7.63,0.25,19.72,0.76,15,1965
4620176,2021S05074620176.00,4620176,1643,13.3,7,5.33,0.61,25.99,0.0,0,1595
4620177,2021S05074620177.00,4620177,1342,11.2,7.1,4.53,0,22.88,1.51,20,1325
4620178,2021S05074620178.00,4620178,2262,13.7,6.2,4.45,0.22,26.14,0.85,20,2360
4620179,2021S05074620179.00,4620179,3783,17.6,7.4,2.97,0.26,25.69,2.16,80,3705
4620180,2021S05074620180.00,4620180,3322,19.1,9.9,3.18,0.75,25.52,1.82,60,3305
4620181,2021S05074620181.00,4620181,5881,18,25.8,2.94,0.77,37.27,1.2,65,5430
4620182,2021S05074620182.00,4620182,2099,15.6,12.6,2.84,0.24,24.66,0.95,20,2115
4620183,2021S05074620183.00,4620183,2152,16.3,12.3,4.28,0.46,27.23,0.95,20,2105
4620184,2021S05074620184.00,4620184,2965,13.8,10.8,2.95,0.17,25.41,0.69,20,2890
4620185,2021S05074620185.00,4620185,5192,16.8,12.4,3.73,0.68,24.23,1.34,70,5225
4620186,2021S05074620186.00,4620186,4606,19.4,13.6,4.91,1.19,22.71,1.07,50,4685
4620187.01,2021S05074620187.01,4620187.01,3339,17.5,16.8,4.21,0.93,25.89,0.97,30,3095
4620187.03,2021S05074620187.03,4620187.03,4751,16.7,20.1,5.21,1.37,17.68,1.14,55,4805
4620187.04,2021S05074620187.04,4620187.04,6501,8.8,16.5,3.47,0.82,13.37,0.48,30,6195
4620188.01,2021S05074620188.01,4620188.01,2136,16.2,12.9,5.75,1.64,26.11,0.69,15,2170
4620188.02,2021S05074620188.02,4620188.02,2605,17.3,13.8,6.18,1.15,19.62,0.8,20,2510
4620189,2021S05074620189.00,4620189,0,,,,,,,,
4620190.01,2021S05074620190.01,4620190.01,3688,12.8,19.9,3.96,1.63,21.05,0.26,10,3785
4620190.02,2021S05074620190.02,4620190.02,4164,9.5,44.8,2.12,0.75,28.92,1.25,50,3995
4620191,2021S05074620191.00,4620191,6160,14.1,20.7,6.61,1.62,20.03,1.55,95,6125
4620192,2021S05074620192.00,4620192,3229,11.8,34,1.48,1.37,11.02,0.55,15,2710
4620193,2021S05074620193.00,4620193,2197,11.5,15.9,4.66,0.91,18.23,0.74,15,2040
4620194.01,2021S05074620194.01,4620194.01,5132,6.1,13.7,3.9,1.5,9.36,0.76,35,4610
4620194.02,2021S05074620194.02,4620194.02,4478,16.4,18.5,3.58,1.25,14.95,1.23,55,4465
4620195.01,2021S05074620195.01,4620195.01,3537,13.6,35.2,3.57,1.69,27.49,0.62,20,3230
4620195.02,2021S05074620195.02,4620195.02,5384,15.9,23.5,4.73,2.04,17.94,0.48,25,5175
4620195.03,2021S05074620195.03,4620195.03,4956,12.5,22,4.57,2.22,23.66,0.4,20,5030
4620196,2021S05074620196.00,4620196,4065,17.3,16.4,6.39,0.98,23.31,0.98,40,4070
4620197,2021S05074620197.00,4620197,4915,17.1,19.3,5.84,1.98,20.66,1.57,75,4790
4620198,2021S05074620198.00,4620198,5025,18.2,16.3,6.71,1.29,22.27,0.9,45,4990
4620199,2021S05074620199.00,4620199,2619,17.6,14.1,5.98,2.48,22.22,0.37,10,2680
4620200,2021S05074620200.00,4620200,4579,19.7,14,6.47,2.4,22.25,0.88,40,4555
4620201,2021S05074620201.00,4620201,6953,22.4,22.2,5.55,1.83,29.21,0.86,55,6390
4620202,2021S05074620202.00,4620202,4186,18.4,20.4,2.84,1.55,21.4,1.18,50,4225
4620203,2021S05074620203.00,4620203,2797,13.7,13.2,3.87,0.36,22.57,2.02,55,2720
4620204,2021S05074620204.00,4620204,2667,11.5,12.2,1.09,0.38,23.86,1.64,45,2750
4620205,2021S05074620205.00,4620205,2095,13.1,12.9,2.49,0.48,24.89,0.0,0,2205
4620206,2021S05074620206.00,4620206,2530,12.9,15.6,2.2,0.4,21.64,1.2,30,2500
4620207,2021S05074620207.00,4620207,3379,19.1,14.2,2.61,1.37,24.04,1.31,45,3445
4620208,2021S05074620208.00,4620208,2497,14.1,11.6,3.25,0.41,25.19,1.52,35,2310
4620209,2021S05074620209.00,4620209,6031,16.3,14.6,4.63,1.24,22.49,1.33,75,5620
4620210,2021S05074620210.00,4620210,4165,17.2,9.6,4.63,0.72,21.96,1.22,50,4105
4620211,2021S05074620211.00,4620211,2249,15.8,10.9,4.71,0.67,20.38,0.43,10,2335
4620212,2021S05074620212.00,4620212,2523,12.6,9.1,2.78,0.59,23.93,1.19,30,2520
4620213,2021S05074620213.00,4620213,2586,11.8,12.4,4.19,0.61,22.87,0.84,20,2380
4620214,2021S05074620214.00,4620214,2765,16.6,10.8,5.24,1.63,19.03,1.27,35,2765
4620215,2021S05074620215.00,4620215,3010,17.5,13.5,4.27,1.19,24.7,0.71,20,2810
4620216,2021S05074620216.00,4620216,2200,15.8,6.4,4.87,1.13,22.4,1.1,25,2265
4620217,2021S05074620217.00,4620217,2518,16.9,11.3,3.61,1.19,23.51,0.57,15,2635
4620218,2021S05074620218.00,4620218,2877,15.6,9.6,5.08,1.04,28.92,1.58,45,2855
4620219,2021S05074620219.00,4620219,2827,14.3,10.8,3.3,1.77,20.19,0.37,10,2725
4620220,2021S05074620220.00,4620220,5683,30.8,16.6,6.7,10.41,26.13,0.37,20,5450
4620221,2021S05074620221.00,4620221,6147,31,15.3,5.21,10.5,27.29,0.41,25,6150
4620222,2021S05074620222.00,4620222,3777,28.9,16.2,8.61,12.32,25.56,0.26,10,3775
4620223.01,2021S05074620223.01,4620223.01,4052,34,12.1,9.87,14.07,29.93,0.39,15,3855
4620223.02,2021S05074620223.02,4620223.02,3353,27.3,14,6.33,11.18,24.71,0.0,0,3555
4620224,2021S05074620224.00,4620224,6054,28.2,15.8,7.72,14.45,22.57,0.0,0,6025
4620225,2021S05074620225.00,4620225,1414,12.7,16.3,1.76,3.55,21.37,1.76,25,1420
4620226,2021S05074620226.00,4620226,2952,10.2,10.2,2.36,0.68,21.34,0.84,25,2960
4620227,2021S05074620227.00,4620227,1561,10,9,5,1.28,19.46,1.0,15,1500
4620228,2021S05074620228.00,4620228,1628,11.1,15,2.8,1.93,18.06,1.25,20,1605
4620229,2021S05074620229.00,4620229,0,,,,,,,,
4620230,2021S05074620230.00,4620230,1858,12.1,11.1,5.08,2.16,22.1,0.56,10,1775
4620231,2021S05074620231.00,4620231,1612,11.4,9,3.33,0.93,20.12,0.91,15,1655
4620232,2021S05074620232.00,4620232,4674,11.6,12.7,4.93,0.96,21.39,1.5,70,4670
4620233,2021S05074620233.00,4620233,2011,20.4,12.2,5.85,1.49,28.51,2.04,40,1960
4620234,2021S05074620234.00,4620234,2144,24.3,17.7,3.88,3.03,24.19,1.6,35,2190
4620235,2021S05074620235.00,4620235,1872,9.5,9.1,3.97,1.33,16.75,0.53,10,1890
4620236,2021S05074620236.00,4620236,1776,15.3,13,4.3,1.41,22.28,1.15,20,1740
4620237,2021S05074620237.00,4620237,3418,11.8,9.8,5.01,0.58,23.43,1.0,35,3490
4620238,2021S05074620238.00,4620238,2338,12.5,9.8,5.36,0.86,18.45,0.43,10,2330
4620239,2021S05074620239.00,4620239,4606,18.4,10.1,6.39,1.63,22.59,0.44,20,4540
4620240,2021S05074620240.00,4620240,3118,19.9,15.4,6.02,2.4,18.98,1.0,30,2995
4620241,2021S05074620241.00,4620241,2791,22,12.7,5.27,3.94,23.66,0.0,0,2850
4620242,2021S05074620242.00,4620242,6077,19.7,13.4,4.78,3.38,24.83,0.41,25,6070
4620243,2021S05074620243.00,4620243,3677,17.7,12.4,8.4,3.67,21.86,0.39,15,3805
4620244,2021S05074620244.00,4620244,2064,13.6,11.9,2.7,0.73,17.79,1.96,40,2045
4620245,2021S05074620245.00,4620245,2883,16.5,12.1,5.43,1.74,24.01,0.9,25,2765
4620247,2021S05074620247.00,4620247,2148,10.8,8.8,4.51,0.7,20.54,0.71,15,2110
4620249,2021S05074620249.00,4620249,4188,18.1,15.8,4.99,2.64,23.71,0.83,35,4210
4620250,2021S05074620250.00,4620250,3994,17.2,15,4.43,3.01,21.56,0.51,20,3945
4620251.01,2021S05074620251.01,4620251.01,3669,21.3,27.1,4.92,6.04,17.76,0.72,25,3460
4620251.02,2021S05074620251.02,4620251.02,2649,26.2,12.9,7,7.17,29.58,0.6,15,2505
4620252,2021S05074620252.00,4620252,5186,22.6,13.3,8.39,4.73,27.56,1.06,55,5185
4620253,2021S05074620253.00,4620253,3598,21.8,10.3,6.84,5.97,22.44,0.71,25,3510
4620254,2021S05074620254.00,4620254,4029,20.6,15.6,5.98,4.48,24.37,0.61,25,4090
4620256,2021S05074620256.00,4620256,3877,21.3,13.2,6.35,6.71,23.41,0.0,0,3940
4620257,2021S05074620257.00,4620257,4500,20.6,16.1,6.48,8.33,18.71,0.34,15,4400
4620258,2021S05074620258.00,4620258,5314,29.3,8.8,10.07,5.08,14.91,0.65,35,5415
4620259,2021S05074620259.00,4620259,6349,26.6,10.6,10.41,5.52,23.17,0.24,15,6340
4620260,2021S05074620260.00,4620260,2338,20.7,12.8,4.71,5.13,21.59,0.0,0,2230
4620261,2021S05074620261.00,4620261,2858,20.4,13.8,3.97,6.83,25.22,1.16,35,3030
4620262,2021S05074620262.00,4620262,4866,20,14.2,5.21,5.96,19.35,0.52,25,4800
4620263,2021S05074620263.00,4620263,4135,18.9,19.1,5.27,5.56,18.84,0.61,25,4075
4620264.01,2021S05074620264.01,4620264.01,5369,10.8,24.6,2.05,0.85,17.38,1.37,70,5125
4620264.02,2021S05074620264.02,4620264.02,5432,11.9,26.4,3.47,1.6,16.73,0.61,30,4905
4620265,2021S05074620265.00,4620265,4561,10,14.4,2.71,1.66,20.18,0.34,15,4440
4620266,2021S05074620266.00,4620266,3195,20.3,15.3,5.27,2.19,18.29,0.96,30,3135
4620267,2021S05074620267.00,4620267,6463,16,15.5,4.09,5.96,22.87,0.39,25,6470
4620268.01,2021S05074620268.01,4620268.01,6525,19.4,21.6,17.19,4.75,21.05,0.47,30,6425
4620268.02,2021S05074620268.02,4620268.02,6170,18.6,11.8,19.25,5.35,24.01,0.49,30,6155
4620268.03,2021S05074620268.03,4620268.03,489,19.2,14.3,11.84,2.04,54.55,0.0,0,380
4620269,2021S05074620269.00,4620269,4521,23,11.6,8.16,3.1,23.57,0.78,35,4470
4620270,2021S05074620270.00,4620270,4739,16.1,16.2,5.63,1.48,22.35,0.73,35,4800
4620271,2021S05074620271.00,4620271,3477,9.1,15.1,1.1,0.86,14.07,1.1,40,3625
4620272,2021S05074620272.00,4620272,3715,16.9,17.5,6.5,1.21,19.89,0.26,10,3775
4620273,2021S05074620273.00,4620273,4752,13.2,20.5,6.03,2.95,24.5,0.99,45,4565
4620274,2021S05074620274.00,4620274,3133,17.7,19.8,5.79,3.53,20.22,0.96,30,3115
4620275,2021S05074620275.00,4620275,4158,17.1,17.9,4.47,1.21,27.03,0.24,10,4135
4620276,2021S05074620276.00,4620276,5123,19.1,16.7,5.89,1.38,19.96,0.69,35,5085
4620277,2021S05074620277.00,4620277,4350,20.6,27.1,8.18,1.26,25.78,0.53,20,3790
4620278,2021S05074620278.00,4620278,4229,14.4,17.1,4.87,0.83,20.48,0.46,20,4310
4620279,2021S05074620279.00,4620279,4954,15.4,28.2,6.29,1.36,20,0.7,30,4285
4620280,2021S05074620280.00,4620280,4621,14.7,13.1,5.26,1.41,21.2,0.54,25,4655
4620281,2021S05074620281.00,4620281,3756,7.6,18.5,2.4,0.8,13.19,0.48,15,3130
4620282,2021S05074620282.00,4620282,6549,17,19.8,7.73,3.31,20.86,0.47,30,6335
4620283.01,2021S05074620283.01,4620283.01,4058,11.9,32,6.48,4.84,19.1,0.0,0,3620
4620283.02,2021S05074620283.02,4620283.02,2891,18,23.4,10.95,5.35,23.87,0.71,20,2825
4620284,2021S05074620284.00,4620284,3489,17.2,22.8,6.9,3.58,24.07,0.28,10,3550
4620285,2021S05074620285.00,4620285,6335,17.1,22.2,8.63,3.25,21.65,0.0,0,5795
4620286,2021S05074620286.00,4620286,5433,21.2,12.1,13.35,3.96,19.4,0.28,15,5435
4620287.01,2021S05074620287.01,4620287.01,6636,27.6,10.6,13.69,3.69,25.08,0.3,20,6575
4620287.02,2021S05074620287.02,4620287.02,4740,14.4,23.6,3.17,2.75,22.86,0.0,0,4570
4620288,2021S05074620288.00,4620288,1473,3.6,32,0,1.02,14.46,0.0,0,1265
4620290.01,2021S05074620290.01,4620290.01,2713,9.4,16.4,0.93,2.22,13.74,0.56,15,2690
4620290.02,2021S05074620290.02,4620290.02,5711,8.4,21.4,1.93,3.25,14.22,0.26,15,5695
4620290.03,2021S05074620290.03,4620290.03,4263,13.5,19.1,3.04,2.93,15.62,0.0,0,4280
4620290.04,2021S05074620290.04,4620290.04,6876,8.6,16.8,2.84,2.18,15.77,0.44,30,6875
