ct_code,dguid,geo_name,population_2021,low_income_pct,seniors_65plus_pct,recent_immigrant_pct,no_official_language_pct,shelter_cost_burden_pct,indigenous_identity_pct,indigenous_identity_count,total_indigenous_identity_universe
4620867,2021S05074620867.00,4620867,6932,15.8,17.2,4.71,1.03,19.82,1.87,125,6690
4620868.01,2021S05074620868.01,4620868.01,6184,10.9,18.1,3.89,1.21,15.79,1.13,70,6175
4620868.02,2021S05074620868.02,4620868.02,6590,14.9,13.7,5.98,1.6,19.57,2.12,140,6600
4620869,2021S05074620869.00,4620869,3145,7.1,26.1,1.75,0.65,16.34,1.28,40,3135
4620870.01,2021S05074620870.01,4620870.01,3735,14.7,15.1,3.81,0.67,16.2,2.31,85,3680
4620870.02,2021S05074620870.02,4620870.02,2306,14.2,20.2,6.08,1.08,15.42,0.42,10,2380
4620871.01,2021S05074620871.01,4620871.01,3866,18.5,19.9,5.84,1.3,20.99,1.46,55,3770
4620871.02,2021S05074620871.02,4620871.02,2058,7.7,20,2.67,0.97,13.1,0.73,15,2060
4620872,2021S05074620872.00,4620872,6671,17,14.3,6.33,0.9,19.77,1.5,100,6645
4620873.01,2021S05074620873.01,4620873.01,4452,21.7,12.2,7.51,1.12,23.08,0.69,30,4330
4620873.02,2021S05074620873.02,4620873.02,4486,19.8,15.6,5.86,1,22.32,1.84,80,4355
4620874,2021S05074620874.00,4620874,5233,15.9,14.2,5.34,1.34,19.96,1.4,75,5340
4620875,2021S05074620875.00,4620875,4916,19.3,16.1,4.63,1.32,20.83,1.65,80,4855
4620876.01,2021S05074620876.01,4620876.01,4162,22,10.9,13.78,2.76,22.16,0.95,40,4210
4620876.04,2021S05074620876.04,4620876.04,8283,3.6,13.1,2.11,0.79,5.79,0.72,60,8285
4620876.05,2021S05074620876.05,4620876.05,9332,6.4,24.4,2.94,0.54,15.63,0.66,60,9025
4620876.06,2021S05074620876.06,4620876.06,6064,15.8,14.3,3.96,1.49,14.63,1.16,70,6050
4620876.07,2021S05074620876.07,4620876.07,2536,10.5,33.9,3.02,0.67,22.64,0.93,20,2155
